8039,0.0
6070,0.0
7442,10.0
6070,0.0
4953,0.0
2265,0.0
5119,10.0
2729,15.0
5119,10.0
3505,5.0
7441,0.0
9595,0.0
2729,0.0
345,0.0
345,0.0
9531,5.0
8863,5.0
4468,5.0
8996,5.0
6731,20.0
1958,5.0
2729,30.0
8089,10.0
2729,65.0
8863,15.0
1526,20.0
2729,65.0
2729,85.0
1526,25.0
1526,45.0
2729,95.0
1526,65.0
2729,95.0
2729,120.0
2729,120.0
1526,65.0
1526,90.0
2729,120.0
2729,140.0
1526,95.0
2729,160.0
1526,100.0
2729,185.0
1526,100.0
9538,20.0
8089,15.0
2729,205.0
1526,100.0
2729,225.0
1526,105.0
1010,25.0
2122,15.0
1010,25.0
5848,20.0
2729,230.0
2729,255.0
5060,0.0
5060,25.0
5060,25.0
9538,20.0
9538,45.0
2729,270.0
5060,50.0
2729,270.0
1526,135.0
9531,5.0
2729,300.0
9538,50.0
9538,80.0
6731,30.0
6619,10.0
2729,320.0
9538,80.0
2729,340.0
9538,80.0
2729,360.0
9538,80.0
9538,100.0
2729,360.0
9538,120.0
2729,370.0
2729,395.0
2729,395.0
9538,120.0
2729,415.0
9855,5.0
2729,435.0
9538,125.0
9538,150.0
9538,150.0
2729,435.0
9538,175.0
2729,435.0
2729,460.0
2729,460.0
9538,175.0
9538,195.0
2729,460.0
9538,220.0
2729,460.0
2729,485.0
9538,220.0
9538,245.0
6731,30.0
9538,265.0
6619,15.0
6731,60.0
6731,60.0
9538,275.0
9538,315.0
9538,315.0
6731,75.0
134,10.0
6619,20.0
6731,95.0
9538,320.0
9538,345.0
6731,105.0
